,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
16,Gaziosmanpaşa Bağlarbaşı Mahallesi'nde Satılık Daire , Gaziosmanpaşa, Bağlarbaşı Mahallesi,3+1,11-20,5,Yarı Bodrum,110,1,0,KombiDoğalgaz,295000
17, KOZYATAĞI PRESTİJLİ BİNADA 120 M2 NET ÖNÜ AÇIK FERAH 3+1 DAİRE, Kadıköy, 19 Mayıs Mahallesi,3+1,20,10,8. Kat,140,1,0,MerkeziDoğalgaz,1570000
18,  DOSTHANEEMLAK TAN 50 YIL MH SATILIK KELEPİR TEMİZ 2+1 DAİRE, Sultangazi, 50. Yıl Mahallesi,2+1,4,5,Bahçe Katı,105,1,0,KombiDoğalgaz,280000
19, GAZİOSMANPAŞA MERKEZ MAHALLESİ KAVAKLI SK SATILIK 2+1 DAİRE, Gaziosmanpaşa, Merkez Mahallesi,2+1,20,5,5. Kat,100,1,0,KombiDoğalgaz,370000
20, Home Vizyon Bahçelievler Satılık Butik Sitede Lüx 3+1 Daire. , Bahçelievler, Çobançeşme Mahallesi,3+1,5-10,4,3. Kat,130,2,0,KombiDoğalgaz,789000
21, Gaziosmanpaşa'da satılık 2+1 daire giriş üstü, Gaziosmanpaşa, Bağlarbaşı Mahallesi,2+1,0,5,1. Kat,85,1,0,KombiDoğalgaz,650000
22,Nivo Ataköy istanbulun en prestijli projesinde acil satılık., Bakırköy, Ataköy 7-8-9-10. Kısım Mahallesi,1+1,0,17,5. Kat,93,1,1,Merkezi(PayÖlçer),1450000
23," ELZEM YAPI'DAN MERKEZİ KONUMDA İSKANLI, GENİŞ 3+1 SATILIK ARAKAT", Sancaktepe, Safa Mahallesi,3+1,3,4,2. Kat,135,1,0,KombiDoğalgaz,435000
24,ESENYURT MEHMET AKİFERSOY MAH. 1+1 RESİDENCE SATILIK DAİRE , Esenyurt, Mehmet Akif Ersoy Mahallesi,1+1,0,11,5. Kat,55,1,1,KombiDoğalgaz,265000
25,KİRA ÖDER GİBİ EV SAHİBİ OLUN %50 PEŞİNAT %50 Sİ 60 AY 0 FAİZ, Esenyurt, Zafer Mahallesi,3+1,0,17,14. Kat,160,1,1,Merkezi(PayÖlçer),350000
26, AVCILAR AMBARLI MAH'DA 5+1 DUBLEKS DAİRE, Avcılar, Ambarlı Mahallesi,5+1,5-10,3,Çatı Dubleks,235,2,0,KombiDoğalgaz,850000
27, Beylikdüzü Deniz İstanbul Mercan Konakları 2+1 Daire, Beylikdüzü, Marmara Mahallesi,2+1,0,6,Yüksek Giriş,106,2,1,KombiDoğalgaz,1700000
28, İN WEST OF İSTANBUL AMAZİNG PRİCE GOOD LOCATİON İNCREDİBLE PRİCE, Beylikdüzü, Cumhuriyet Mahallesi,3+1,0,15,6. Kat,130,1,0,KombiDoğalgaz,239000
29,BAĞCILAR BARBAROS MAH'DA 2+1 110 M2 SATILIK DAİRE, Bağcılar, Barbaros Mahallesi,2+1,20,7,5. Kat,120,1,0,KombiDoğalgaz,275000
30,MARİN İNSAATTAN CUMHURİYETTE 2+1 METROBÜSE 5 DAİKA MESAFEDE DAİRE, Esenyurt, Cumhuriyet Mahallesi,2+1,2,5,1. Kat,110,1,0,KombiDoğalgaz,180000
31,"Next House'dan Yayla'da 2+1 90M2,Fırsat,Lüx,Daire", Bahçelievler, Soğanlı Mahallesi,2+1,0,5,Yüksek Giriş,90,1,0,KombiDoğalgaz,589000
32, MODERN 34'den  Cevizli'de  Geniş  İskanlı  Ara  Kat  Satılık 2+1, Maltepe, Cevizli Mahallesi,2+1,3,5,1. Kat,100,2,0,KombiDoğalgaz,775000
33,MARİN İNŞAATTAN GÜZELYURTTA 2+1 TEMİZ GİYİNME ODALI DAİRE FIRSATI, Esenyurt, Güzelyurt Mahallesi,2+1,1,5,1. Kat,110,1,0,KombiDoğalgaz,170000
34,MARİN İNŞAATTAN SAADETDEREDE3+1 GENİŞ GİYİNME ODALI DAİRE FIRSATI, Esenyurt, Saadetdere Mahallesi,3+1,2,5,1. Kat,130,2,0,KombiDoğalgaz,255000
35, İNŞAAT FİRMASINDAN SATILIK MERKEZDE SIFIR ASANSÖRLÜ 2+1 DAİRE, Esenyurt, İncirtepe Mahallesi,2+1,0,4,2. Kat,100,1,0,KombiDoğalgaz,335000
36,NOFT YAPI'DAN SATILIK KOMBİLİ ŞIK TASARIMLI BAHÇE KATI DAİRE, Esenyurt, Güzelyurt Mahallesi,2+1,0,6,Bahçe Katı,95,1,0,KombiDoğalgaz,219000
37, BEYLİKDÜZÜ'NDE FULL DONANIMA SAHİP ŞIK TASARIMLI ULTRA LÜKS 3+1, Esenyurt, Ardıçlı Mahallesi,3+1,0,15,6. Kat,130,1,0,KombiDoğalgaz,240000
38,BAŞKENT YAPI'DAN KREDİ YOK KEFİL YOK ELDEN 60 AY TAKSİT İMKANI, Beylikdüzü, Cumhuriyet Mahallesi,2+1,0,21,9. Kat,115,2,0,KombiDoğalgaz,259000
39, DiLER YAPI GÜVENCESİYLE İSKANLI SATILIK DAİRE 85 M2 METROYA 7 DK, Maltepe, Zümrütevler Mahallesi,2+1,4,4,3. Kat,85,1,0,KombiDoğalgaz,440000
40, EMLAKVAR OSMANGAZİ'DE 4+1 ÇATI DUBLEKSİ KATTA TEK İSKANLI, Sancaktepe, Osmangazi Mahallesi,4+1,5-10,4,Çatı Dubleks,170,2,0,KombiDoğalgaz,500000
41, BEYLİKDÜZÜ KAVAKLI MAHALLESİNDE V.İ.P SATILIK DUBLEKS DAİRE, Beylikdüzü, Kavaklı Mahallesi,5+1,0,5,2. Kat,265,2,0,KombiDoğalgaz,1700000
42, İSTANBUL FATİH EMİNÖNÜ HOBYAR MH. BANKALAR CAD. BİNA KAPALIÇARŞI, Fatih Satılık Bina, Hobyar Mahallesi Satılık Bina,8+ Oda,20,3,Müstakil,2400,6,0,KatKaloriferi,101003600
43, YENİBOSNADA ÇAKMAK DURAĞINDA SATILIK 100 m2 2+1 KREDİLİ DAİRE, Bahçelievler, Zafer Mahallesi,2+1,20,4,4. Kat,100,1,0,KombiDoğalgaz,325000
44,İSTİKLAL MERKEZDE 4+1 KAT DUBLEKSİ, Ümraniye, İstiklal Mahallesi,4+1,5-10,5,Çatı Dubleks,155,2,0,KombiDoğalgaz,830000
45, GÖZTEPE MİNİBÜS CADDEDİNE PARALEL CADDE ÜZERİNDE O  DAİRE, Kadıköy, Merdivenköy Mahallesi,2+1,0,9,7. Kat,95,2,0,MerkeziDoğalgaz,1075000
46,BEYLİKDÜZÜ YAŞAM VADİSİNE YAKIN ÇİFT BALKONLU AÇIK CEPHELİ 3+1, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,4,4,2. Kat,150,2,0,KombiDoğalgaz,797500
47,BEYLİKDÜZÜ MİGROS DURAĞINA 5DK YÜRÜME İSKANLI LÜKS DİZAYNLI 3+1, Beylikdüzü, Barış Mahallesi,3+1,11-20,14,7. Kat,170,2,0,KombiDoğalgaz,970000
48,Ağaoğlu Eltes Gold Residence 20.kat Bahçesi Yanı 164m2, Ümraniye, Madenler Mahallesi,3+1,11-20,27,20. Kat,164,2,0,KombiDoğalgaz,1450000
49,Çekmeköy – Üsküdar Metro hattının Necip Fazıl Durağına 400 metre, Ümraniye, Necip Fazıl Mahallesi,3+1,11-20,8,1. Kat,135,2,0,KombiDoğalgaz,700000
50, MARİN İNŞAATTAN BEYLİKDÜZÜ YAKUPLUDA 3+1 MERKEZİ KONUMLU DAİRE!!, Beylikdüzü, Yakuplu Mahallesi,3+1,2,5,4. Kat,130,2,0,KombiDoğalgaz,300000
51,EMSALLERİNİN ÇOK ÇOK ÜSTÜNDE LÜX 3+1DAİREMİZ EN DİP FİYATTA SİZİN, Beylikdüzü, Cumhuriyet Mahallesi,3+1,1,8,3. Kat,130,1,0,KombiDoğalgaz,327000
52,Pendik Çarşısında 3+1 130 m2 Teraslı Satılık Daire, Pendik, Batı Mahallesi,3+1,20,4,1. Kat,130,1,0,KombiDoğalgaz,450000
53,Beylikdüzü yakuplu'da metrobüse yürüme mesafesinde 2+1 fırsatı, Beylikdüzü, Yakuplu Mahallesi,2+1,0,4,2. Kat,110,2,0,KombiDoğalgaz,489000
54,BEYLİKDÜZÜ YAKUPLU'DA METROBÜSE YÜRÜME MESAFESİNDE 3+1 FIRSATI , Beylikdüzü, Yakuplu Mahallesi,3+1,0,4,2. Kat,145,1,0,KombiDoğalgaz,639000
55,DAKİK EMLAKTAN OVAYENİCE MAH SATILIK 10.000m² BESİCİLİK ÇİFTLİĞİ, Çatalca, Ovayenice Mahallesi,6+3,5-10,2,Düz Giriş,10000,3,0,Sobalı,4650000
56, BEYLİKDÜZÜNDE BUTİK SİTE İÇİNDE KAPALI OTOPARKLI 3+1 LÜKS DAİRE, Beylikdüzü, Kavaklı Mahallesi,3+1,0,7,5. Kat,130,1,0,KombiDoğalgaz,240000
57, TRUVA MALTPDE ELİT BÖLGE ŞOK FİYAT İŞTE FIRSAT 1.KAT 120'M2' 3+1, Maltepe, Fındıklı Mahallesi,3+1,5-10,5,1. Kat,120,1,0,KombiDoğalgaz,455000
58,GÖKTAŞ YAPI'DAN HAFTANIN FIRSATI 3+1 130 M2 İSKANLI !!!, Esenyurt, Yunus Emre Mahallesi,3+1,5-10,4,4. Kat,135,1,0,KombiDoğalgaz,395000
59,GÖKTAŞ YAPI'DAN MÜKEMMEL KONUM'DA 3+1 150 M2 SİTE İÇİ!!!, Başakşehir, Bahçeşehir 2. Kısım Mahallesi,3+1,5-10,8,Yüksek Giriş,160,2,0,KombiDoğalgaz,850000
60,PRESTİJ PARK VATANDAŞLIĞA UYGUN 3+1 SATILIK DAİRE, Esenyurt, Zafer Mahallesi,3+1,2,16,4. Kat,174,2,0,Merkezi(PayÖlçer),990000
61,YENİDOĞAN MERKEZDE ASANSÖRLÜ 2. KAT OTURUMA HAZIR DAİRE, Sancaktepe, Yenidoğan Mahallesi,2+1,3,4,2. Kat,100,1,0,KombiDoğalgaz,379000
62, ESENYURT YEŞİLKENT MAH. 2+1 ARA KAT RESİDANS SATILIK DAİRE , Esenyurt, Yeşilkent Mahallesi,2+1,0,18,7. Kat,105,1,1,KombiDoğalgaz,580000
63,MİMAROBA SATILIK DENİZ MANZARALI LÜKS 4+1 TRİPLEKS VİLLA , Büyükçekmece, Mimaroba Mahallesi,4+1,5-10,3,Villa Tipi,328,2,0,KombiDoğalgaz,1350000
64,Başakşehir evvel İstanbul sitesinde satılık kelepir 4+1 daire, Başakşehir, Kayabaşı Mahallesi,4+1,4,2,1. Kat,180,3,0,YerdenIsıtma,1900000
65,NOFT YAPIDAN SATILIK ÇİFT BALKONLU KOMBİLİ ÖN CEPHE DAİRE FIRSATI, Esenyurt, Güzelyurt Mahallesi,2+1,2,6,1. Kat,110,1,0,KombiDoğalgaz,379000
66,NOFT YAPI'DAN SATILIK ÇİFT TERASLI KOMBİLİ FERAH DAİRE FIRSATI, Esenyurt, Güzelyurt Mahallesi,2+1,2,5,5. Kat,110,1,0,KombiDoğalgaz,369000
67, ESENYURT ÖRNEK MAH. 1+1 SİTE İÇİNDE GÜVENLİKLİ SATILIK DAİRE , Esenyurt, Örnek Mahallesi,1+1,5-10,7,5. Kat,65,1,1,Merkezi(PayÖlçer),310000
68,"Next House'dan, Göl ve Deniz Manzaralı,250M2,Özel Yapım Dubleks.", Küçükçekmece, Fatih Mahallesi,4+1,0,14,14. Kat,250,3,0,Merkezi(PayÖlçer),2600000
69, SARIYER MASLAK ECLİPSE LÜKS 2+1 SATILIK DAİRE, Sarıyer, Maslak Mahallesi,2+1,5-10,30,11. Kat,105,1,1,Merkezi(PayÖlçer),2650000
70, ESENYURT DOGAN ARASLI BULVARI CAD. 1+1 SİTE İÇİNDE SATILIK DAİRE, Esenyurt, Bağlarçeşme Mahallesi,1+1,5-10,10,4. Kat,72,1,1,KombiDoğalgaz,345000
71,BAHÇELİEVLER DE 3+1 SATILIK DAİRE , Bahçelievler, Soğanlı Mahallesi,3+1,11-20,5,Düz Giriş,120,1,0,KombiDoğalgaz,560000
72,SARIYER MASLAK 42 1+1 SATILIK DAİRE  , Sarıyer, Maslak Mahallesi,1+1,5-10,30,16. Kat,70,1,1,Merkezi(PayÖlçer),2550000
73, ESENYURT CUMHURİYET MAH. 1+1 SATILIK DAİRE, Esenyurt, Piri Reis Mahallesi,1+1,5-10,14,3. Kat,70,1,1,Merkezi(PayÖlçer),350000
74,SANCAKTEPE'NİN YÜKSELEN YILDIZI YENİDOĞAN'DA MERKEZİ KONUMDA 2+1 , Sancaktepe, Yunus Emre Mahallesi,2+1,0,6,2. Kat,95,1,0,KombiDoğalgaz,400000
75, ESENYURT ÜÇEVLER  MH. 2+1 95M² 1. KAT DAİRE, Esenyurt, Fatih Mahallesi,2+1,4,6,1. Kat,105,1,0,KombiDoğalgaz,330000
76,MARİN İNŞAATTAN SAADETDEREDE TORİUM AVM ARKASINDA FIRSAT2+1 DAİRE, Esenyurt, Saadetdere Mahallesi,2+1,1,5,3. Kat,110,1,0,KombiDoğalgaz,175000
77, BEYLİKDÜZÜ MARİNA'YA KOMŞU SIFIR EŞSİZ 2+1 DAİRE !, Beylikdüzü, Yakuplu Mahallesi,2+1,0,5,2. Kat,110,1,0,KombiDoğalgaz,519000
78, BEYLİKDÜZÜ YAKUPLU'DA EŞSİZ MANZARALI DEV M2 UYGUN 3+2 DUBLEKS !, Beylikdüzü, Yakuplu Mahallesi,3+2,4,5,4. Kat,180,2,0,KombiDoğalgaz,629000
79, CENNET MAHALLESİNDE E-5 KENARI SATILIK SIFIR BALKONLU Y.GİRİŞ , Küçükçekmece, Cennet Mahallesi,2+1,0,5,Yüksek Giriş,90,1,0,KombiDoğalgaz,750000
80, AVCILAR CİHANGİR BU AYIN KELEPİR 2+1 SIFIR DAİRESİ RÜZGAR YAPIDA, Avcılar, Cihangir Mahallesi,2+1,2,6,1. Kat,110,1,0,KombiDoğalgaz,203000
81, ESENYURT  LÜX BİR YAŞAMA GEÇMEYE HAZIRMISINIZ...??, Esenyurt, Atatürk Mahallesi,2+1,0,7,5. Kat,110,1,0,KombiDoğalgaz,220000
82, آپارتمان های لوکس در غرب استانبول با بهترین شرایط فرو, Esenyurt, Cumhuriyet Mahallesi,3+1,0,15,7. Kat,130,1,0,KombiDoğalgaz,245000
83,METROBÜSE 3 DK TEK DAİRE ÜZERİ 130 NET M2 3+1 EBEVEN BANYOLU !!!, Esenyurt, Güzelyurt Mahallesi,3+1,0,6,1. Kat,145,1,0,KombiDoğalgaz,562000
84,GÜVERCİN İNŞAAT'TAN 2+1 110 M2 KAÇIRILMAYACAK KUPON DAİRE !!!!!!, Esenyurt, Bağlarçeşme Mahallesi,2+1,0,5,3. Kat,110,1,0,KombiDoğalgaz,259000
85,MERKEZİ KONUMDA 3+1 EMSALSİZ KELEPİR DAİRE 165 M2 2.KAT ÖN CEPHE, Esenyurt, Örnek Mahallesi,3+1,0,5,2. Kat,165,1,0,KombiDoğalgaz,447000
86,GÜVERCİN YAPI FARKIYLA ŞİŞİRİLMEMİŞ FİYATLAR İLE 150M2 3+1 4.KAT, Esenyurt, Yenikent Mahallesi,3+1,2,5,4. Kat,150,1,0,KombiDoğalgaz,379000
87, ESENYURT MEHMET AKİFTE METROBÜSE ÇOK YAKIN FIRSAT SATILIK DAİRE, Esenyurt, Mehmet Akif Ersoy Mahallesi,2+1,4,5,2. Kat,120,1,0,KombiDoğalgaz,360000
88, ESENYURT PINAR MAH. SİTE İÇİNDE EŞYALI 1+1 SIFIR DAİRE , Esenyurt, Pınar Mahallesi,1+1,0,14,3. Kat,90,1,1,Merkezi(PayÖlçer),280000
89,ESENYURT 3+1 ARA KAT 130 M2 YEŞİLKENT MAH. SATILIK DAİRE , Esenyurt, Yeşilkent Mahallesi,3+1,0,5,3. Kat,145,1,0,KombiDoğalgaz,485000
90, Toki Menekşe Evleri-1'de 84m2 Marmaray'a Yakın 2+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,2+1,11-20,11,10. Kat,84,1,1,KombiDoğalgaz,740000
91, YEŞİLKENT 2'DE VATANDAŞLIĞA UYGUN 5+1 SATILIK DAİRE, Beylikdüzü, Adnan Kahveci Mahallesi,5+1,20,16,14. Kat,360,3,1,KombiDoğalgaz,1800000
92, BEYLİKDÜZÜ BARIŞ MAHALLESİNDE EMSALSİZ GENİŞ M2 3+1 DAİRE !, Beylikdüzü, Yakuplu Mahallesi,3+1,11-20,14,11. Kat,150,1,0,KombiDoğalgaz,869000
93,BEYLİKDÜZÜ GEZGEN YAPIDAN 110 m2 OTURUMA HAZIR 2+1 SATILIK DAİRE, Esenyurt, Cumhuriyet Mahallesi,2+1,0,6,3. Kat,110,2,0,KombiDoğalgaz,330000
94,Başakşehir evvel İstanbul projesi satılık fırsat boş 3+1 daire , Başakşehir, Kayabaşı Mahallesi,3+1,4,28,15. Kat,169,2,0,YerdenIsıtma,1749000
95,MARİN İNŞAAT'TAN 3+1 GÜZELYURT'TA METROBÜS YAKINI DAİRE FIRSATI!, Esenyurt, Güzelyurt Mahallesi,3+1,1,5,3. Kat,130,2,0,KombiDoğalgaz,255000
96, TRUVA'DAN MALTEPDE ŞOK FİYAT FIRSAT DAİRE 3.KAT ASANSRLÜ 2+1, Maltepe, Fındıklı Mahallesi,2+1,5-10,4,3. Kat,90,1,0,KombiDoğalgaz,335000
97,SATILIK 5+2 DUBLEKS NET 200 M2 AÇIKLAMAYI OKUYUN, Çekmeköy, Merkez Mahallesi,5+2,0,4,Çatı Dubleks,230,3,0,KombiDoğalgaz,1550000
98, BEYLİKDÜZÜNDE ULTRA LÜX 2+1 GENİŞ FERAH KULLANIŞLI DAİRE , Beylikdüzü, Cumhuriyet Mahallesi,2+1,0,4,2. Kat,100,1,0,KombiDoğalgaz,225000
99,Kayaşehir 19 bölgede satılık fırsat tapulu 2+1 boş daire , Başakşehir, Kayabaşı Mahallesi,2+1,5-10,25,25. Kat,102,1,1,Merkezi(PayÖlçer),685000
100, AKASYA 1'de FULL TADİLATLI ARA KAT DAİRE, Küçükçekmece, Atakent Mahallesi,3+1,11-20,15,12. Kat,155,2,1,KombiDoğalgaz,1385000
101, TOKİ AÇELYA EVLERİ'NDE SATILIK 2+1 ARA KAT TEMİZ 84 m2 DAİRE, Küçükçekmece, Atakent Mahallesi,2+1,11-20,9,9. Kat,84,1,1,KombiDoğalgaz,735000
102, Bahçelievler'de Yeni Binada Satılık Ara Kat Asansörlü 2+1 Daire, Bahçelievler, Siyavuşpaşa Mahallesi,2+1,11-20,5,2. Kat,100,1,0,KombiDoğalgaz,549000
103, Bahçeşehir Tual'de 3+1 Çift Cephe Satılık Daire, Başakşehir, Bahçeşehir 2. Kısım Mahallesi,3+1,5-10,27,3. Kat,180,2,1,Merkezi(PayÖlçer),1750000
104,MARİN İNŞAATTAN KAVAKLI'DA 3+1 KREDİYE TAKASA UYGUN DAİRE FIRSATI, Beylikdüzü, Kavaklı Mahallesi,3+1,2,8,3. Kat,130,2,0,KombiDoğalgaz,322000
105,DURAKCAN'DAN TORİUM AWM YANINDA METROBÜSE YÜRÜME MESAFESİNDE 2+1, Esenyurt, Zafer Mahallesi,2+1,5-10,5,Bahçe Katı,105,2,0,KombiDoğalgaz,389999
106, BEYLİKDÜZÜNDE SİTE İÇİNDE YEŞİLİN TAM ORTASINDA HUZURLU YAŞAM, Beylikdüzü, Kavaklı Mahallesi,3+1,0,7,5. Kat,130,1,0,KombiDoğalgaz,240000
107,HALİM GÜZEL'DEN 3+1 METROLİFE YANI 130 M2 ARA KAT DAİRE, Sancaktepe, Abdurrahmangazi Mahallesi,3+1,5-10,5,1. Kat,130,1,0,KombiDoğalgaz,590000
108,RE/MAX IŞIK FARKIYLA SIFIR 2+1 BALKONLU SATILIK DAİRE, Sancaktepe, Abdurrahmangazi Mahallesi,2+1,0,3,3. Kat,95,1,0,KombiDoğalgaz,495000
109, ÇİFTEHAVUZLARDA 13 YILLIK BİNA 3+1 160 M2 3 BANYO  YENİLENMİŞ, Kadıköy, Göztepe Mahallesi,3+1,11-20,11,7. Kat,160,3,0,KombiDoğalgaz,3695000
110, DEPAR'DAN FENERYOLU MİNİBÜS CADDESİ ÜZERİ 3+1 145 M2 YENİLENMİŞ, Kadıköy, Feneryolu Mahallesi,3+1,20,9,5. Kat,145,1,0,MerkeziDoğalgaz,1875000
111,SANCAKTEPE SAFA MAH.3+1 135M2 İSKANLI ASANSÖRLÜ MERKEZİ KONUM, Sancaktepe, Safa Mahallesi,3+1,3,4,3. Kat,135,1,0,KombiDoğalgaz,520000
112,BEYLİKDÜZÜ ALBAYRAK'TAN SİTE İÇİ BAHÇE KULLANIMLI 2+1 SATILIK, Beylikdüzü, Adnan Kahveci Mahallesi,2+1,0,5,Bahçe Katı,125,2,0,KombiDoğalgaz,720000
113,BEYLİKDÜZÜ ALBAYRAK'TAN SİTE İÇİ GENİŞ M2 3+1 SATILIK DAİRELER, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,0,5,3. Kat,155,2,0,KombiDoğalgaz,870000
114, Esenyurt Kiptaş 2 Yenikent Mah.75 m2 Yüksek giriş 2+1 satılık, Esenyurt, Yenikent Mahallesi,2+1,11-20,11,Yüksek Giriş,90,1,0,MerkeziDoğalgaz,315000
115,  BEYLİKDÜZÜ SİMA YAPI'DAN KİRA ÖDER GİBİ EV SAHİBİ OLMA FIRSATI!, Beylikdüzü, Cumhuriyet Mahallesi,2+1,0,4,Bahçe Katı,100,1,0,KombiDoğalgaz,129999
116,DURAKCAN YAPI'DAN MEHTERÇEŞME MAHALLESİN'DE ŞIK TASARIMLI 2+1, Esenyurt, Mehterçeşme Mahallesi,2+1,5-10,5,2. Kat,105,2,0,KombiDoğalgaz,350000
117, ÖMERPAŞA'DA OYUNCAK MÜZESİNE KOMŞU  GENİŞ 3+1 YENİLENMİŞ, Kadıköy, Erenköy Mahallesi,3+1,11-20,9,4. Kat,160,2,0,MerkeziDoğalgaz,2625000
118, AVCILAR MUSTAFA KEMAL PAŞA MAH BALKONLU 2+1 SATILIK YÜKSEK GİRİŞ, Avcılar, Mustafa Kemal Paşa Mahallesi,2+1,4,4,Yüksek Giriş,75,1,0,KombiDoğalgaz,365000
119, Kelepir...!!!! Sancaktepe Yenidoganda Satılık 2+1 95m2 Daire, Sancaktepe, Yunus Emre Mahallesi,2+1,5-10,5,Yüksek Giriş,100,1,0,KombiDoğalgaz,210000
120," TALİP YÖRÜKOĞLUN,DAN DEPREM SONRASI FULL BAHÇEKATI DAİRE", Güngören, Güneştepe Mahallesi,1+1,11-20,3,Yüksek Giriş,80,1,0,KombiDoğalgaz,330000
121, KÜÇÜKKÖY FEVZİÇAKMAK MAHALLESİNDE SATILI YÜKSEK GİRİŞ DAİRE, Gaziosmanpaşa, Fevzi Çakmak Mahallesi,3+1,11-20,3,Yüksek Giriş,105,1,0,KombiDoğalgaz,370000
122,KORU İÇİNDE BOĞAZ MANZARALI 270 M2 SATILIK DAİRE BEBEK, Beşiktaş, Bebek Mahallesi,4+1,20,4,1. Kat,270,2,0,MerkeziDoğalgaz,19000000
123,İSTANBUL MALTEPE'DE 50.000 TL'YE AYDA 2.500 TL KİRA ALMA FIRSATI, Maltepe, Aydınevler Mahallesi,3+1,0,5,3. Kat,130,1,0,KombiDoğalgaz,50000
124, KARTAL YUNUS MAHALLEDE MERKEZİ KONUMDA 2+1 SATILIK KELEPİR DAİRE, Kartal, Yunus Mahallesi,2+1,20,4,1. Kat,120,1,0,KombiDoğalgaz,262000
125,KRİSTAL İNŞAAT'TAN OSMANGAZİ MAHALLESİNDE KELEPİR DAİRE!!!!, Sancaktepe, Osmangazi Mahallesi,2+1,0,5,Yüksek Giriş,110,1,0,KombiDoğalgaz,255000
